preguntas_mes,opcion_local,alternativa,proveedor,gama,capex_local_eur,coste_mensual_local_eur,coste_mensual_alternativa_eur,breakeven_meses,ahorro_a_60_meses_eur,nota
20000,Estación RTX 5090,Gemini 3.6 Flash,Google,intermedia,7500,43.11,83.6,185.2,-5070.83,
20000,Estación RTX 5090,Gemini 3.5 Flash-Lite,Google,entrada,7500,43.11,39.59,,-7711.53,la alternativa cuesta menos al mes
20000,Estación RTX 5090,Gemini 3.1 Flash-Lite,Google,entrada,7500,43.11,29.4,,-8322.57,la alternativa cuesta menos al mes
20000,Estación RTX 5090,Gemini 2.5 Flash-Lite,Google,entrada,7500,43.11,10.53,,-9454.85,la alternativa cuesta menos al mes
20000,Estación RTX 5090,GPT-5.4 mini,OpenAI,intermedia,7500,43.11,88.21,166.3,-4794.19,
20000,Estación RTX 5090,GPT-5.6 luna,OpenAI,entrada,7500,43.11,23.52,,-8675.4,la alternativa cuesta menos al mes
20000,Estación RTX 5090,GPT-5 mini,OpenAI,entrada,7500,43.11,32.48,,-8138.14,la alternativa cuesta menos al mes
20000,Estación RTX 5090,GPT-5 nano,OpenAI,entrada,7500,43.11,6.5,,-9697.03,la alternativa cuesta menos al mes
20000,Estación RTX 5090,GPU alquilada (bajo coste),IaaS,alquiler,7500,43.11,396.0,21.3,13673.24,
20000,Estación RTX 5090,GPU alquilada (proveedor mayor),IaaS,alquiler,7500,43.11,1044.0,7.5,52553.24,
20000,Servidor 1× PRO 6000,Claude Opus 5,Anthropic,frontera,12500,68.67,557.33,25.6,16819.34,
20000,Servidor 1× PRO 6000,Claude Sonnet 5,Anthropic,intermedia,12500,68.67,222.93,81.0,-3244.37,
20000,Servidor 1× PRO 6000,Claude Haiku 4.5,Anthropic,entrada,12500,68.67,111.47,292.1,-9932.27,
20000,Servidor 1× PRO 6000,Gemini 3.6 Flash,Google,intermedia,12500,68.67,83.6,837.3,-11604.25,
20000,Servidor 1× PRO 6000,Gemini 3.5 Flash-Lite,Google,entrada,12500,68.67,39.59,,-14244.95,la alternativa cuesta menos al mes
20000,Servidor 1× PRO 6000,Gemini 3.1 Flash-Lite,Google,entrada,12500,68.67,29.4,,-14855.99,la alternativa cuesta menos al mes
20000,Servidor 1× PRO 6000,Gemini 2.5 Flash-Lite,Google,entrada,12500,68.67,10.53,,-15988.27,la alternativa cuesta menos al mes
20000,Servidor 1× PRO 6000,GPT-5.4 mini,OpenAI,intermedia,12500,68.67,88.21,639.7,-11327.61,
20000,Servidor 1× PRO 6000,GPT-5.6 luna,OpenAI,entrada,12500,68.67,23.52,,-15208.83,la alternativa cuesta menos al mes
20000,Servidor 1× PRO 6000,GPT-5 mini,OpenAI,entrada,12500,68.67,32.48,,-14671.56,la alternativa cuesta menos al mes
20000,Servidor 1× PRO 6000,GPT-5 nano,OpenAI,entrada,12500,68.67,6.5,,-16230.45,la alternativa cuesta menos al mes
20000,Servidor 1× PRO 6000,GPU alquilada (bajo coste),IaaS,alquiler,12500,68.67,396.0,38.2,7139.82,
20000,Servidor 1× PRO 6000,GPU alquilada (proveedor mayor),IaaS,alquiler,12500,68.67,1044.0,12.8,46019.82,
100000,Estación RTX 5090,Claude Opus 5,Anthropic,frontera,7500,50.35,2786.63,2.7,156676.31,
100000,Estación RTX 5090,Claude Sonnet 5,Anthropic,intermedia,7500,50.35,1114.65,7.0,56357.76,
100000,Estación RTX 5090,Claude Haiku 4.5,Anthropic,entrada,7500,50.35,557.33,14.8,22918.24,
100000,Estación RTX 5090,Gemini 3.6 Flash,Google,intermedia,7500,50.35,417.99,20.4,14558.36,
100000,Estación RTX 5090,Gemini 3.5 Flash-Lite,Google,entrada,7500,50.35,197.94,50.8,1354.84,
100000,Estación RTX 5090,Gemini 3.1 Flash-Lite,Google,entrada,7500,50.35,147.02,77.6,-1700.33,
100000,Estación RTX 5090,Gemini 2.5 Flash-Lite,Google,entrada,7500,50.35,52.66,3255.0,-7361.75,
100000,Estación RTX 5090,GPT-5.4 mini,OpenAI,intermedia,7500,50.35,441.05,19.2,15941.56,
100000,Estación RTX 5090,GPT-5.6 luna,OpenAI,entrada,7500,50.35,117.61,111.5,-3464.52,
100000,Estación RTX 5090,GPT-5 mini,OpenAI,entrada,7500,50.35,162.38,66.9,-778.2,
100000,Estación RTX 5090,GPT-5 nano,OpenAI,entrada,7500,50.35,32.48,,-8572.66,la alternativa cuesta menos al mes
100000,Estación RTX 5090,GPU alquilada (bajo coste),IaaS,alquiler,7500,50.35,396.0,21.7,13238.72,
100000,Estación RTX 5090,GPU alquilada (proveedor mayor),IaaS,alquiler,7500,50.35,1044.0,7.5,52118.72,
100000,Servidor 1× PRO 6000,Claude Opus 5,Anthropic,frontera,12500,74.7,2786.63,4.6,150215.46,
100000,Servidor 1× PRO 6000,Claude Sonnet 5,Anthropic,intermedia,12500,74.7,1114.65,12.0,49896.9,
100000,Servidor 1× PRO 6000,Claude Haiku 4.5,Anthropic,entrada,12500,74.7,557.33,25.9,16457.39,
100000,Servidor 1× PRO 6000,Gemini 3.6 Flash,Google,intermedia,12500,74.7,417.99,36.4,8097.51,
100000,Servidor 1× PRO 6000,Gemini 3.5 Flash-Lite,Google,entrada,12500,74.7,197.94,101.4,-5106.01,
100000,Servidor 1× PRO 6000,Gemini 3.1 Flash-Lite,Google,entrada,12500,74.7,147.02,172.9,-8161.19,
100000,Servidor 1× PRO 6000,Gemini 2.5 Flash-Lite,Google,entrada,12500,74.7,52.66,,-13822.61,la alternativa cuesta menos al mes
100000,Servidor 1× PRO 6000,GPT-5.4 mini,OpenAI,intermedia,12500,74.7,441.05,34.1,9480.7,
100000,Servidor 1× PRO 6000,GPT-5.6 luna,OpenAI,entrada,12500,74.7,117.61,291.3,-9925.38,
100000,Servidor 1× PRO 6000,GPT-5 mini,OpenAI,entrada,12500,74.7,162.38,142.6,-7239.06,
100000,Servidor 1× PRO 6000,GPT-5 nano,OpenAI,entrada,12500,74.7,32.48,,-15033.52,la alternativa cuesta menos al mes
100000,Servidor 1× PRO 6000,GPU alquilada (bajo coste),IaaS,alquiler,12500,74.7,396.0,38.9,6777.87,
100000,Servidor 1× PRO 6000,GPU alquilada (proveedor mayor),IaaS,alquiler,12500,74.7,1044.0,12.9,45657.87,
